@relation horse-colic-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute surgery {yes,no}
@attribute Age {adult,young}
@attribute rectal_temperature {'\'All\''}
@attribute pulse {'\'(-inf-58]\'','\'(58-inf)\''}
@attribute respiratory_rate {'\'(-inf-59]\'','\'(59-inf)\''}
@attribute temp_extremities {normal,warm,cool,cold}
@attribute peripheral_pulse {normal,increased,reduced,absent}
@attribute mucous_membranes {'normal pink','bright pink','pale pink','pale cyanotic','bright red','dark cyanotic'}
@attribute capillary_refill_time {<3,>=3,'meaning unknown'}
@attribute pain {'alert no pain',depressed,'intermittent mild pain','intermittent severe pain','continuous severe pain'}
@attribute peristalsis {hypermotile,normal,hypomotile,absent}
@attribute abdominal_distension {none,slight,moderate,severe}
@attribute nasogastric_tube {none,slight,significant}
@attribute nasogastric_reflux {none,>1l,<1l}
@attribute nasogastric_reflux_PH {'\'All\''}
@attribute rectal_examination {normal,increased,decreased,absent}
@attribute abdomen {normal,other,'firm feces in large intestine','distended small intestine','distended large intestine'}
@attribute packed_cell_volume {'\'(-inf-49.5]\'','\'(49.5-inf)\''}
@attribute total_protein {'\'All\''}
@attribute abdominocentesis_appearance {clear,cloudy,serosanguinous}
@attribute abdomcentesis_total_protein {'\'All\''}
@attribute outcome {lived,died,euthanized}
@attribute surgical_lesion {yes,no}

@data
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,normal,'bright pink',<3,depressed,hypomotile,none,none,none,?,increased,'distended large intestine','\'(-inf-49.5]\'','\'All\'',clear,?,lived,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cold,reduced,'dark cyanotic',?,?,hypomotile,moderate,?,?,?,?,?,'\'(49.5-inf)\'','\'All\'',?,?,lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(59-inf)\'',normal,normal,'bright red',>=3,'continuous severe pain',absent,severe,significant,none,?,absent,'distended small intestine','\'(-inf-49.5]\'','\'All\'',cloudy,?,lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,?,'normal pink',<3,'alert no pain',hypomotile,none,slight,<1l,'\'All\'',absent,'firm feces in large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',warm,normal,'pale cyanotic',?,depressed,hypomotile,none,?,?,?,normal,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
yes,young,'\'All\'','\'(58-inf)\'','\'(59-inf)\'',?,reduced,?,<3,depressed,absent,?,?,?,?,?,?,'\'(49.5-inf)\'','\'All\'',?,?,lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale pink',<3,?,absent,moderate,significant,>1l,'\'All\'',?,?,'\'(49.5-inf)\'','\'All\'',?,?,lived,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',?,?,?,<3,?,?,?,?,?,?,?,?,?,?,?,?,lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cold,reduced,'pale pink',>=3,'intermittent mild pain',hypomotile,moderate,slight,none,?,decreased,'distended large intestine','\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,normal,'normal pink',<3,?,hypomotile,slight,none,none,?,normal,'firm feces in large intestine','\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,no
yes,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,died,no
no,adult,'\'All\'','\'(-inf-58]\'',?,warm,normal,'normal pink',<3,'alert no pain',hypermotile,none,none,none,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,significant,>1l,'\'All\'',absent,'distended large intestine','\'(49.5-inf)\'','\'All\'',?,?,died,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale cyanotic',>=3,depressed,absent,slight,?,<1l,'\'All\'',decreased,'firm feces in large intestine','\'(49.5-inf)\'','\'All\'',serosanguinous,'\'All\'',euthanized,yes
yes,adult,'\'All\'','\'(58-inf)\'',?,warm,normal,'normal pink',<3,'intermittent mild pain',hypomotile,moderate,slight,none,?,absent,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,'intermittent mild pain',hypermotile,?,?,?,?,absent,'distended small intestine','\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,yes
yes,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,significant,<1l,?,absent,'distended small intestine','\'(49.5-inf)\'','\'All\'',?,?,lived,yes
no,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',cold,reduced,'pale pink',>=3,'intermittent severe pain',absent,moderate,?,<1l,?,?,other,'\'(49.5-inf)\'','\'All\'',?,?,euthanized,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',?,reduced,'bright red',>=3,?,?,none,none,>1l,?,?,'distended large intestine','\'(49.5-inf)\'','\'All\'',cloudy,'\'All\'',euthanized,no
yes,adult,'\'All\'','\'(58-inf)\'',?,?,reduced,?,<3,'continuous severe pain',hypomotile,none,?,none,?,normal,normal,'\'(49.5-inf)\'','\'All\'',clear,'\'All\'',lived,yes
no,adult,'\'All\'','\'(-inf-58]\'',?,normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,none,none,?,normal,'firm feces in large intestine','\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,no
yes,young,'\'All\'','\'(58-inf)\'','\'(59-inf)\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,died,yes
yes,adult,?,'\'(58-inf)\'',?,cool,reduced,'dark cyanotic',>=3,'continuous severe pain',hypomotile,moderate,none,<1l,?,absent,'distended large intestine','\'(49.5-inf)\'','\'All\'',serosanguinous,?,died,yes
no,young,'\'All\'','\'(58-inf)\'','\'(59-inf)\'',?,?,?,?,?,?,?,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,'\'All\'',lived,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,normal,'pale pink',<3,'intermittent mild pain',hypomotile,none,none,none,?,increased,other,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,?,'\'(58-inf)\'',?,cool,absent,'pale cyanotic',<3,'intermittent severe pain',absent,severe,none,none,?,?,'distended large intestine','\'(49.5-inf)\'','\'All\'',cloudy,'\'All\'',euthanized,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale cyanotic',>=3,'intermittent severe pain',absent,?,slight,none,?,?,'distended large intestine','\'(49.5-inf)\'','\'All\'',serosanguinous,'\'All\'',euthanized,yes
no,adult,?,'\'(58-inf)\'',?,cold,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,none,none,?,absent,'distended large intestine','\'(49.5-inf)\'','\'All\'',serosanguinous,?,died,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,?,'pale cyanotic',>=3,'continuous severe pain',absent,severe,slight,>1l,?,absent,'distended large intestine','\'(49.5-inf)\'','\'All\'',?,?,lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,'alert no pain',hypermotile,none,none,none,?,normal,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale pink',>=3,depressed,hypomotile,moderate,slight,>1l,'\'All\'',decreased,normal,'\'(49.5-inf)\'','\'All\'',serosanguinous,?,died,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'bright red',>=3,'intermittent severe pain',hypermotile,slight,none,>1l,?,increased,normal,'\'(49.5-inf)\'','\'All\'',cloudy,'\'All\'',died,no
no,adult,'\'All\'','\'(-inf-58]\'',?,normal,normal,'bright pink',<3,'alert no pain',hypomotile,slight,none,none,?,?,other,'\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,?,'pale pink',>=3,'intermittent mild pain',hypomotile,slight,?,?,?,absent,'distended large intestine',?,?,serosanguinous,?,died,yes
no,adult,?,?,?,normal,normal,'pale pink',<3,'alert no pain',hypomotile,none,?,?,?,increased,other,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',?,?,?,<3,?,?,?,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'normal pink',>=3,depressed,hypomotile,moderate,slight,none,'\'All\'',normal,'distended large intestine','\'(49.5-inf)\'','\'All\'',serosanguinous,'\'All\'',euthanized,yes
yes,young,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,?,'bright red',<3,'intermittent mild pain',hypomotile,severe,significant,?,?,absent,?,'\'(-inf-49.5]\'',?,cloudy,?,died,yes
yes,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
yes,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',warm,?,'bright pink',<3,'continuous severe pain',hypomotile,moderate,slight,>1l,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,?,died,yes
yes,adult,?,?,'\'(-inf-59]\'',cold,reduced,'pale pink',?,'continuous severe pain',absent,moderate,slight,?,?,absent,'distended small intestine','\'(49.5-inf)\'','\'All\'',serosanguinous,?,died,yes
no,adult,?,'\'(58-inf)\'',?,cool,reduced,'pale pink',>=3,'continuous severe pain',absent,severe,none,>1l,?,absent,'distended large intestine','\'(49.5-inf)\'',?,?,?,died,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'pale pink',<3,depressed,hypermotile,?,none,none,?,absent,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(58-inf)\'',?,warm,increased,'normal pink',<3,'alert no pain',normal,slight,slight,none,?,normal,normal,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',warm,normal,'bright pink',<3,'intermittent mild pain',?,?,slight,?,?,absent,?,'\'(49.5-inf)\'','\'All\'',clear,'\'All\'',died,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cold,reduced,'pale cyanotic',>=3,depressed,absent,severe,none,none,?,?,?,'\'(49.5-inf)\'','\'All\'',cloudy,'\'All\'',euthanized,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,normal,'pale cyanotic',>=3,'intermittent mild pain',hypomotile,slight,none,>1l,'\'All\'',absent,'distended large intestine','\'(-inf-49.5]\'','\'All\'',serosanguinous,'\'All\'',lived,yes
yes,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',cool,normal,'pale pink',<3,'intermittent mild pain',hypomotile,slight,none,none,?,decreased,'distended small intestine','\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,yes
no,adult,'\'All\'','\'(58-inf)\'',?,normal,normal,'bright red',>=3,'intermittent mild pain',hypomotile,none,none,<1l,'\'All\'',decreased,'distended small intestine','\'(49.5-inf)\'','\'All\'',clear,'\'All\'',lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,'alert no pain',hypomotile,none,slight,none,?,decreased,other,'\'(-inf-49.5]\'','\'All\'',clear,?,lived,no
no,adult,?,'\'(-inf-58]\'','\'(-inf-59]\'',normal,?,'pale pink',<3,?,?,?,slight,<1l,'\'All\'',?,?,'\'(49.5-inf)\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,'alert no pain',hypomotile,?,none,none,?,decreased,other,'\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,no
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,?,?,<3,'intermittent mild pain',?,moderate,slight,>1l,'\'All\'',absent,'distended small intestine','\'(-inf-49.5]\'','\'All\'',?,?,euthanized,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,'alert no pain',normal,none,slight,?,?,normal,normal,'\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,no
yes,adult,'\'All\'','\'(-inf-58]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,died,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'bright red',<3,'intermittent severe pain',hypomotile,none,slight,<1l,'\'All\'',normal,?,'\'(49.5-inf)\'','\'All\'',cloudy,'\'All\'',died,yes
yes,young,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,?,died,yes
yes,young,'\'All\'','\'(58-inf)\'',?,cool,reduced,'bright red',>=3,depressed,hypomotile,?,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',euthanized,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,reduced,'normal pink',<3,'intermittent mild pain',hypomotile,slight,?,?,?,decreased,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',warm,?,'normal pink',<3,'alert no pain',hypermotile,none,none,none,?,normal,normal,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,?,?,?,cool,reduced,'pale pink','meaning unknown','continuous severe pain',hypomotile,moderate,significant,>1l,?,absent,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,died,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,reduced,'dark cyanotic',>=3,'intermittent mild pain',absent,slight,slight,<1l,'\'All\'',?,'distended small intestine','\'(49.5-inf)\'','\'All\'',serosanguinous,?,lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale cyanotic',<3,'intermittent severe pain',hypomotile,slight,?,?,?,absent,'distended small intestine','\'(-inf-49.5]\'','\'All\'',serosanguinous,'\'All\'',died,yes
yes,adult,'\'All\'','\'(-inf-58]\'',?,?,reduced,'normal pink',<3,depressed,hypomotile,slight,significant,none,?,decreased,'distended large intestine','\'(-inf-49.5]\'',?,serosanguinous,'\'All\'',lived,yes
yes,young,'\'All\'','\'(58-inf)\'','\'(59-inf)\'',cool,normal,'bright pink',<3,'intermittent mild pain',absent,none,?,?,?,normal,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
yes,adult,'\'All\'',?,'\'(-inf-59]\'',cool,reduced,'dark cyanotic',>=3,'continuous severe pain',?,severe,none,none,?,?,?,'\'(49.5-inf)\'','\'All\'',?,?,died,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(59-inf)\'',normal,reduced,'bright pink',>=3,depressed,hypomotile,moderate,?,>1l,'\'All\'',absent,?,'\'(-inf-49.5]\'','\'All\'',cloudy,?,lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',warm,reduced,'pale pink','meaning unknown','intermittent mild pain',hypermotile,slight,slight,>1l,?,?,'distended small intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,moderate,significant,?,?,absent,'distended large intestine','\'(49.5-inf)\'','\'All\'',serosanguinous,'\'All\'',died,yes
no,adult,?,'\'(-inf-58]\'','\'(-inf-59]\'',?,?,?,<3,?,?,?,?,?,?,?,?,'\'(49.5-inf)\'','\'All\'',cloudy,'\'All\'',euthanized,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,normal,'bright red',<3,'intermittent mild pain',hypomotile,slight,slight,none,?,decreased,'firm feces in large intestine','\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,'alert no pain',hypermotile,none,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',?,?,?,?,depressed,?,?,?,<1l,'\'All\'',normal,normal,'\'(49.5-inf)\'','\'All\'',?,?,lived,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'normal pink',>=3,depressed,hypomotile,moderate,slight,none,'\'All\'',normal,'distended large intestine','\'(49.5-inf)\'','\'All\'',serosanguinous,'\'All\'',died,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,normal,'normal pink',<3,'alert no pain',hypermotile,none,slight,none,?,decreased,normal,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,?,?,?,cool,reduced,'normal pink',<3,'continuous severe pain',hypomotile,moderate,none,none,?,absent,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,died,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cold,normal,'pale pink',<3,?,normal,none,none,none,?,normal,normal,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',?,normal,'bright pink',<3,'intermittent mild pain',hypomotile,moderate,slight,none,?,decreased,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
no,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',?,?,'pale pink',<3,?,hypomotile,none,slight,none,?,decreased,other,'\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale cyanotic',<3,depressed,hypomotile,moderate,?,<1l,'\'All\'',absent,'distended large intestine','\'(49.5-inf)\'','\'All\'',?,?,euthanized,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',warm,normal,'pale pink',<3,'alert no pain',hypomotile,slight,none,none,?,normal,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'dark cyanotic',>=3,depressed,absent,moderate,none,>1l,?,decreased,'distended large intestine','\'(49.5-inf)\'','\'All\'',cloudy,'\'All\'',lived,no
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,reduced,'normal pink',<3,'alert no pain',hypomotile,?,?,?,?,normal,normal,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',cold,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,?,?,none,?,absent,'distended large intestine',?,?,?,?,euthanized,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,?,'normal pink',<3,depressed,?,?,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,young,'\'All\'','\'(58-inf)\'','\'(59-inf)\'',normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,?,?,?,increased,normal,'\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,reduced,'pale pink',<3,'intermittent severe pain',absent,none,slight,<1l,'\'All\'',increased,'distended large intestine','\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',died,yes
yes,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',normal,?,'pale pink',>=3,depressed,hypomotile,slight,slight,?,?,absent,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(59-inf)\'',?,reduced,'pale pink',<3,?,?,?,none,none,?,normal,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'pale pink',<3,'alert no pain',hypomotile,slight,?,?,?,normal,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cold,reduced,'bright pink',>=3,'intermittent severe pain',absent,severe,?,?,?,absent,'distended large intestine','\'(49.5-inf)\'','\'All\'',serosanguinous,'\'All\'',euthanized,yes
yes,young,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'bright pink',<3,'intermittent mild pain',hypomotile,moderate,none,none,?,?,?,'\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',died,yes
yes,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',cool,absent,'bright red',>=3,depressed,hypomotile,slight,slight,none,?,absent,'distended large intestine','\'(49.5-inf)\'','\'All\'',?,?,died,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,?,?,<3,'alert no pain',hypomotile,slight,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,yes
yes,adult,?,'\'(-inf-58]\'',?,warm,normal,'normal pink',<3,'alert no pain',hypomotile,none,none,none,?,?,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,'\'All\'',died,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,?,'pale cyanotic',?,'continuous severe pain',absent,moderate,slight,none,?,absent,'distended large intestine','\'(49.5-inf)\'','\'All\'',?,?,lived,yes
no,adult,?,?,'\'(-inf-59]\'',cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
