,Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
27,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,Yes,Private,Urban,Male,Yes,Computer
28,Hons or Grater,26.0,Yes,No,Yes,No,Rural,No,Mobile Internet,3,3,No,Private,Rural,Male,Yes,Mobile
29,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,Yes,Public,Rural,Male,Yes,Mobile
30,Hons or Grater,22.0,No,Yes,No,No,Urban,Yes,Mobile Internet,5,3,Yes,Public,Urban,Female,Yes,Computer
31,Hons or Grater,,Yes,No,Yes,No,Urban,No,Broadband,6,2,No,,,Female,No,Mobile
32,Hons or Grater,26.0,Yes,Yes,No,No,Urban,No,Broadband,3,2,No,Public,Rural,Female,No,Computer
33,Upto HSC,17.0,Yes,No,Yes,Yes,Rural,No,Mobile Internet,5,3,Yes,Private,Rural,Male,No,Computer
34,Hons or Grater,26.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,No,Private,Urban,Male,Yes,Computer
35,Upto HSC,22.0,Yes,No,No,Yes,Rural,No,Mobile Internet,5,3,No,Public,Rural,Female,Yes,Mobile
36,Hons or Grater,23.0,Yes,Yes,No,No,Rural,No,Broadband,5,2,Yes,Public,Rural,Female,Yes,Computer
37,Hons or Grater,21.0,Yes,No,Yes,No,Urban,No,Mobile Internet,4,4,No,Public,Rural,Male,No,Mobile
38,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,No,Private,Urban,Female,Yes,Computer
39,Hons or Grater,24.0,Yes,No,Yes,No,Urban,No,Mobile Internet,3,2,No,Private,Rural,Female,Yes,Computer
40,Hons or Grater,23.0,Yes,No,Yes,No,Urban,No,Broadband,5,2,No,Private,Rural,Male,Yes,Mobile
41,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,2,No,Private,Rural,Male,Yes,Computer
42,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,3,Yes,Private,Rural,Female,Yes,Mobile
43,Upto HSC,19.0,No,No,Yes,No,Rural,No,Mobile Internet,4,4,No,Public,Rural,Male,No,Computer
44,Hons or Grater,22.0,Yes,No,Yes,No,Urban,No,Mobile Internet,4,4,No,Private,Rural,Male,Yes,Mobile
45,Upto HSC,18.0,No,Yes,No,Yes,Urban,Yes,Mobile Internet,6,3,No,Public,Urban,Male,Yes,Computer
46,Upto HSC,16.0,No,No,Yes,No,Rural,No,Mobile Internet,5,3,No,Public,Rural,Male,Yes,Computer
47,Upto HSC,21.0,No,No,Yes,Yes,Urban,No,Mobile Internet,4,3,No,Public,Rural,Female,No,Computer
48,Upto HSC,22.0,Yes,No,No,No,Rural,No,Mobile Internet,4,4,No,Public,Rural,Male,No,Computer
49,Upto HSC,22.0,Yes,No,No,No,Urban,No,Mobile Internet,5,2,No,Public,Rural,Female,No,Mobile
50,Upto HSC,20.0,Yes,No,No,No,Urban,No,Broadband,5,3,No,Public,Rural,Male,,Computer
51,Hons or Grater,25.0,No,No,No,Yes,Urban,No,Mobile Internet,6,3,No,Public,Rural,Male,No,Computer
52,Hons or Grater,22.0,Yes,No,Yes,Yes,Rural,No,Mobile Internet,4,3,Yes,Public,Urban,Male,Yes,Computer
53,Hons or Grater,22.0,Yes,No,No,Yes,Urban,No,Mobile Internet,5,2,No,Public,Rural,Male,Yes,Mobile
54,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,3,Yes,Private,Rural,Female,No,Computer
55,Upto HSC,18.0,Yes,,Yes,No,,Yes,Broadband,5,4,Yes,,,,No,Computer
56,Hons or Grater,22.0,Yes,No,Yes,No,Urban,No,Mobile Internet,5,3,Yes,Private,Urban,Female,Yes,Computer
57,Upto HSC,19.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,Yes,Private,Urban,Male,Yes,Computer
58,Upto HSC,17.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,4,Yes,Private,Urban,Male,No,Computer
59,Hons or Grater,23.0,Yes,No,No,No,Urban,No,Mobile Internet,4,4,No,Private,Rural,Female,Yes,Computer
60,Hons or Grater,23.0,Yes,Yes,No,No,Rural,Yes,Broadband,6,3,Yes,Private,Urban,Male,No,Mobile
61,Hons or Grater,24.0,Yes,Yes,No,No,,No,Broadband,4,3,No,,,,Yes,Computer
62,Hons or Grater,25.0,Yes,Yes,No,No,,Yes,Broadband,5,2,No,,,,No,Computer
63,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,2,Yes,Private,Urban,Male,Yes,Mobile
64,Hons or Grater,23.0,,Yes,No,No,,Yes,Broadband,5,3,Yes,,Urban,Male,Yes,Computer
65,Upto HSC,20.0,,,Yes,No,,Yes,Broadband,6,3,Yes,Public,,,No,Mobile
66,Hons or Grater,24.0,Yes,No,No,No,Urban,No,Mobile Internet,4,3,No,Private,Rural,Male,,Computer
67,Upto HSC,19.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,No,,,,No,Mobile
68,Hons or Grater,25.0,,Yes,No,No,Urban,Yes,Broadband,3,4,No,,,,No,Mobile
69,Hons or Grater,,Yes,Yes,No,Yes,,Yes,Broadband,6,3,Yes,Private,Rural,Female,Yes,Computer
70,Hons or Grater,25.0,Yes,,No,Yes,,Yes,Broadband,4,3,Yes,Private,Urban,Female,Yes,Computer
71,Hons or Grater,23.0,Yes,No,No,Yes,Urban,No,Mobile Internet,5,4,No,Private,Urban,Female,Yes,Mobile
72,Hons or Grater,,Yes,Yes,No,Yes,,Yes,Broadband,6,2,No,,,Male,No,Computer
73,Hons or Grater,,,Yes,No,Yes,Urban,Yes,Broadband,4,3,Yes,,Urban,Female,Yes,Computer
74,Hons or Grater,,Yes,Yes,No,Yes,,Yes,Broadband,6,2,No,,,,Yes,Mobile
75,Upto HSC,,,,Yes,No,Urban,Yes,Broadband,5,3,No,,,Female,No,Mobile
76,Hons or Grater,24.0,Yes,No,No,No,Urban,No,Mobile Internet,5,3,Yes,Public,Urban,Male,,Computer
77,Hons or Grater,,Yes,,No,No,,Yes,Broadband,4,3,Yes,,Urban,,No,Computer
78,Upto HSC,,Yes,Yes,No,No,Urban,Yes,Broadband,5,4,No,,,,,Mobile
79,Hons or Grater,,Yes,Yes,No,No,,Yes,Broadband,4,3,No,,,Male,Yes,Mobile
80,Upto HSC,17.0,No,Yes,Yes,No,Rural,No,Mobile Internet,3,3,No,Public,Rural,Male,Yes,Computer
81,Hons or Grater,,,,No,No,,Yes,Broadband,3,4,No,Private,Urban,,No,Mobile
82,Hons or Grater,26.0,Yes,Yes,No,No,Urban,No,Mobile Internet,3,3,No,Private,Urban,Male,No,Mobile
83,Hons or Grater,,Yes,Yes,No,No,Urban,Yes,Broadband,6,3,No,,,,Yes,Computer
84,Upto HSC,,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,4,No,,,,No,Mobile
85,Upto HSC,,Yes,Yes,No,No,Urban,Yes,Broadband,4,2,No,,,,Yes,Computer
86,Upto HSC,20.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,4,Yes,Private,,,Yes,Mobile
87,Upto HSC,,,,Yes,No,,Yes,Broadband,5,2,No,,,,,Computer
88,Hons or Grater,,Yes,Yes,No,Yes,,No,Broadband,4,2,No,Public,,,Yes,Computer
89,Upto HSC,18.0,No,Yes,No,No,Rural,Yes,Broadband,4,3,Yes,Private,Urban,Male,No,Computer
90,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,Yes,Private,Urban,Male,,Computer
91,Hons or Grater,26.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,6,3,No,Private,Rural,Male,Yes,Computer
92,Hons or Grater,,Yes,Yes,No,Yes,Urban,No,Broadband,6,4,No,,,Female,Yes,Computer
93,Upto HSC,17.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,3,3,Yes,Private,Rural,Male,Yes,Computer
94,Upto HSC,22.0,Yes,Yes,No,No,Rural,No,Mobile Internet,5,3,No,Public,Rural,Female,No,Mobile
95,Hons or Grater,21.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,No,Public,Rural,Male,Yes,Computer
96,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,3,No,Private,Rural,Male,No,Mobile
97,Hons or Grater,24.0,Yes,Yes,Yes,Yes,Urban,No,Mobile Internet,5,3,No,Private,Rural,Female,Yes,Computer
98,Upto HSC,23.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,4,3,No,Private,Urban,Male,No,Computer
99,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Broadband,4,3,No,Private,Rural,Male,No,Computer
100,Upto HSC,23.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,Yes,Private,Urban,Male,No,Computer
101,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,2,Yes,Public,Rural,Male,,Mobile
102,Upto HSC,24.0,Yes,Yes,No,No,Rural,Yes,Broadband,3,3,Yes,Private,Rural,Male,Yes,Mobile
103,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Private,Urban,Female,Yes,Computer
104,Upto HSC,25.0,No,Yes,No,Yes,Rural,No,Mobile Internet,4,3,No,Public,Rural,Female,Yes,Computer
105,Upto HSC,18.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,2,Yes,Private,Urban,Female,Yes,Mobile
106,Upto HSC,20.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,Yes,Private,Urban,Male,Yes,Computer
107,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,4,Yes,Private,Urban,Female,Yes,Computer
108,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,2,Yes,Private,Urban,Female,Yes,Computer
109,Upto HSC,19.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,2,Yes,Private,Urban,Male,No,Mobile
110,Upto HSC,19.0,No,Yes,Yes,No,Rural,No,Mobile Internet,4,4,No,Public,Rural,Male,Yes,Computer
111,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,3,No,Private,Rural,Male,Yes,Computer
112,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,2,No,Private,Urban,Male,Yes,Computer
113,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,Yes,Public,Urban,Female,No,Computer
114,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,Yes,Public,Urban,Male,No,Computer
115,Upto HSC,16.0,No,Yes,Yes,No,Rural,No,Mobile Internet,3,4,No,Public,Rural,Male,Yes,Computer
116,Upto HSC,21.0,No,Yes,No,No,Urban,No,Mobile Internet,4,3,No,Public,Rural,Female,,Computer
117,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,3,Yes,Private,Rural,Male,No,Computer
118,Upto HSC,22.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,4,2,No,Public,Rural,Male,Yes,Computer
119,Upto HSC,22.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,2,No,Public,Rural,Female,Yes,Computer
120,Upto HSC,20.0,Yes,Yes,Yes,No,Urban,No,Broadband,5,2,No,Public,Rural,Male,Yes,Computer
121,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,2,Yes,Private,Urban,Male,Yes,Mobile
122,Upto HSC,,Yes,,Yes,No,,Yes,Broadband,5,4,No,,,,Yes,Computer
123,Hons or Grater,,,,No,No,,Yes,Broadband,5,4,No,,,,No,Computer
124,Upto HSC,,Yes,Yes,No,No,,Yes,Broadband,4,3,No,,,,Yes,Computer
125,Upto HSC,,,,No,No,,Yes,Broadband,5,4,No,,,,No,Computer
126,Upto HSC,18.0,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,5,2,Yes,Private,Rural,Male,No,Computer
127,Hons or Grater,24.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,4,2,Yes,Public,Rural,Male,Yes,Computer
128,Hons or Grater,25.0,No,Yes,No,Yes,Urban,No,Mobile Internet,5,4,No,Public,Rural,Male,No,Computer
129,Hons or Grater,22.0,Yes,Yes,No,No,Rural,No,Mobile Internet,3,4,Yes,Public,Urban,Male,Yes,Mobile
130,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,No,Public,Rural,Male,Yes,Mobile
131,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,Yes,Public,Urban,Male,Yes,Computer
132,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,No,Private,Urban,Male,,Mobile
133,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,6,3,No,Private,Urban,Male,Yes,Computer
134,Upto HSC,22.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,3,4,No,Public,Rural,Male,Yes,Mobile
135,Upto HSC,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,4,No,Public,Rural,Female,No,Mobile
136,Hons or Grater,23.0,Yes,Yes,No,No,Rural,Yes,Broadband,3,3,Yes,Private,Rural,Male,Yes,Computer
137,Hons or Grater,24.0,No,Yes,No,No,Urban,Yes,Broadband,4,4,Yes,Private,Rural,Female,Yes,Mobile
138,Upto HSC,20.0,Yes,Yes,No,No,Urban,No,Broadband,6,2,No,Public,Rural,Male,No,Computer
139,Hons or Grater,25.0,No,Yes,No,Yes,Urban,No,Mobile Internet,3,3,No,Public,Rural,Male,No,Computer
140,Upto HSC,19.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,4,2,No,Private,Urban,Male,Yes,Mobile
141,Hons or Grater,25.0,Yes,Yes,No,No,Urban,No,Broadband,5,3,No,Private,Urban,Male,Yes,Computer
142,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,Yes,Private,Urban,Male,Yes,Mobile
143,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,3,No,Private,Rural,Female,Yes,Mobile
144,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Broadband,4,3,No,Private,Urban,Male,Yes,Computer
145,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,No,Private,Rural,Male,Yes,Mobile
146,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,2,No,Private,Urban,Female,Yes,Mobile
147,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,3,Yes,Private,Urban,Male,Yes,Mobile
148,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,Yes,Private,Rural,Female,No,Computer
149,Upto HSC,20.0,Yes,Yes,No,No,Urban,No,Broadband,5,3,No,Public,Rural,Male,Yes,Computer
150,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,No,Public,Rural,Male,Yes,Computer
151,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,2,No,Private,Urban,Male,No,Mobile
152,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,Urban,Female,No,Computer
153,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,Yes,Private,Urban,Male,No,Computer
154,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,3,No,Private,Urban,Female,Yes,Computer
155,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,4,Yes,Private,Urban,Female,No,Mobile
156,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,4,Yes,Private,Urban,Male,No,Computer
157,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,3,3,No,Private,Rural,Female,No,Mobile
158,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,Yes,Private,Urban,Male,No,Computer
159,Hons or Grater,25.0,No,Yes,Yes,No,Urban,No,Mobile Internet,4,4,No,Public,Rural,Male,Yes,Mobile
160,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,2,No,Private,Rural,Female,Yes,Computer
161,Hons or Grater,22.0,Yes,Yes,No,No,Rural,No,Mobile Internet,3,2,Yes,Public,Urban,Male,Yes,Computer
162,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,2,No,Public,Rural,Male,Yes,Computer
163,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,4,No,Private,Rural,Male,No,Computer
164,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,Yes,Private,Rural,Female,No,Computer
165,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,Yes,Private,Urban,Female,Yes,Computer
166,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,4,No,Private,Rural,Male,Yes,Computer
167,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,2,No,Private,Rural,Male,Yes,Mobile
168,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,4,No,Private,Rural,Female,Yes,Computer
169,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,No,Private,Rural,Male,Yes,Computer
170,Hons or Grater,23.0,Yes,Yes,Yes,Yes,Urban,No,Mobile Internet,5,4,No,Private,Urban,Female,Yes,Computer
171,Hons or Grater,25.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,3,3,Yes,Public,Rural,Female,No,Computer
172,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,2,No,Private,Urban,Male,No,Computer
173,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,5,3,Yes,Public,Urban,Male,Yes,Mobile
174,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,3,Yes,Private,Urban,Female,Yes,Computer
175,Hons or Grater,24.0,Yes,Yes,No,No,Rural,Yes,Broadband,4,3,Yes,Public,Urban,Female,Yes,Computer
176,Hons or Grater,24.0,Yes,Yes,No,No,Rural,No,Mobile Internet,6,3,Yes,Private,Urban,Female,Yes,Computer
177,Upto HSC,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,2,Yes,Private,Urban,Female,Yes,Mobile
178,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,No,Broadband,5,4,Yes,Private,Urban,Female,No,Mobile
179,Upto HSC,17.0,No,Yes,No,Yes,Rural,No,Mobile Internet,3,3,No,Public,Rural,Male,Yes,Computer
180,Hons or Grater,24.0,Yes,,Yes,No,Urban,Yes,Broadband,5,3,No,,,,No,Computer
181,Hons or Grater,26.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,5,2,No,Private,Rural,Male,Yes,Mobile
182,Hons or Grater,22.0,No,Yes,No,Yes,Rural,Yes,Broadband,4,3,Yes,Public,Rural,Female,Yes,Computer
183,Hons or Grater,,Yes,Yes,Yes,Yes,Urban,No,Broadband,4,3,No,,,Female,Yes,Mobile
184,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,4,Yes,Private,Rural,Male,Yes,Computer
185,Upto HSC,17.0,Yes,Yes,Yes,No,Rural,No,Mobile Internet,4,2,Yes,Private,Rural,Male,No,Computer
186,Upto HSC,22.0,Yes,Yes,No,No,Rural,No,Mobile Internet,3,3,No,Public,Rural,Female,Yes,Mobile
187,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,4,Yes,Private,Rural,Female,Yes,Computer
188,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,Yes,Private,Rural,Female,Yes,Computer
189,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,2,Yes,Public,Rural,Female,Yes,Computer
190,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,No,Broadband,5,4,Yes,Private,Urban,Male,Yes,Computer
191,Hons or Grater,21.0,Yes,Yes,Yes,Yes,Urban,No,Mobile Internet,4,4,No,Public,Rural,Male,Yes,Computer
192,Hons or Grater,24.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,5,2,No,Private,Rural,Female,No,Mobile
193,Hons or Grater,22.0,Yes,Yes,No,No,Rural,Yes,Broadband,3,4,Yes,Public,Rural,Male,No,Mobile
194,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,2,No,Private,Urban,Female,No,Computer
195,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,2,No,Private,Urban,Female,Yes,Computer
196,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Private,Urban,Male,,Computer
197,Hons or Grater,23.0,Yes,Yes,Yes,No,Urban,No,Broadband,4,2,No,Private,Rural,Male,Yes,Mobile
198,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,2,Yes,Public,Rural,Male,Yes,Computer
199,Hons or Grater,22.0,No,Yes,No,No,Urban,Yes,Mobile Internet,3,3,Yes,Public,Urban,Female,No,Computer
200,Upto HSC,19.0,No,Yes,No,Yes,Rural,No,Mobile Internet,5,4,No,Public,Rural,Male,No,Computer
201,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,No,Broadband,3,3,No,Public,Rural,Female,No,Computer
202,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,4,3,No,Private,Rural,Male,No,Computer
203,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,4,No,Private,Urban,Male,Yes,Computer
204,Upto HSC,16.0,No,Yes,Yes,Yes,Rural,No,Mobile Internet,3,3,No,Public,Rural,Male,No,Mobile
205,Hons or Grater,23.0,Yes,Yes,No,Yes,Rural,No,Broadband,5,4,Yes,Public,Rural,Female,No,Computer
206,Upto HSC,21.0,No,Yes,No,No,Urban,No,Mobile Internet,3,4,No,Public,Rural,Female,Yes,Mobile
207,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,2,No,Private,Urban,Female,No,Computer
208,Upto HSC,22.0,Yes,Yes,Yes,Yes,Rural,No,Mobile Internet,5,3,No,Public,Rural,Male,No,Computer
209,Upto HSC,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,4,No,Public,Rural,Female,Yes,Computer
210,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Mobile Internet,3,2,No,Private,Rural,Male,Yes,Computer
211,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,2,Yes,Private,Rural,Female,Yes,Mobile
212,Upto HSC,20.0,Yes,Yes,Yes,No,Urban,No,Broadband,5,4,No,Public,Rural,Male,Yes,Computer
213,Hons or Grater,25.0,No,Yes,No,No,Urban,No,Mobile Internet,4,4,No,Public,Rural,Male,No,Computer
214,Upto HSC,18.0,No,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,No,Public,Urban,Male,Yes,Mobile
215,Hons or Grater,22.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,5,3,Yes,Public,Urban,Male,Yes,Computer
216,Hons or Grater,22.0,Yes,Yes,Yes,No,Urban,No,Mobile Internet,3,3,No,Public,Rural,Male,Yes,Computer
